Fecha,Ticker,Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,Ratio8,Ratio9,Ratio10,Ratio11,Ratio12,Ratio13,Ratio14,Ratio15,Ratio16,Ratio17,Ratio18,Ratio19,Ratio20,Ratio21,Ratio22,Ratio23,Ratio24,Ratio25,Ratio26,IssuerRating,SovereignRating
31/12/2016,IQT365903927,0.031985528,0.269979,2.672250017,0.292052232,0.47586082,15.23166417,0.994984447,0.846353579,-21.2349,0.18891482,0.512184918,4.444518389,49.3468,0.029044253,0.2729165,2.898791766,0.288056992,0.491133504,18.39880793,0.906118693,1.119318673,113.6491667,0.144363247,0.469358643,3.927354483,32.948,BB,AA-
31/03/2017,IQT365903927,0.032170939,0.266889,2.545133455,0.114539482,0.504145452,13.66286016,2.447841487,1.352330826,12.3113,0.112977503,0.529619155,3.561952359,22.7904,0.030127508,0.269505,2.759905432,0.243367026,0.491957276,16.51272711,1.306400165,1.166599439,57.3892,0.142947306,0.490920091,4.00119451,30.4086,BB,AA-
30/06/2017,IQT365903927,0.032170939,0.266889,2.545133455,0.114539482,0.504145452,13.66286016,2.447841487,1.352330826,12.3113,0.112977503,0.529619155,3.561952359,21.0684,0.031210764,0.2660935,2.621019098,0.19867706,0.492781048,14.6266463,1.706681637,1.213880205,1.129233333,0.141531365,0.51248154,4.075034537,30.8025,BB,AA-
30/09/2017,IQT365903927,0.032170939,0.266889,2.545133455,0.114539482,0.504145452,13.66286016,2.447841487,1.352330826,12.3113,0.112977503,0.529619155,3.561952359,21.0684,0.032124587,0.2676615,2.576912595,0.158917669,0.497074294,14.05506116,2.084627227,1.225836514,3.92475,0.131961833,0.525260596,3.782593866,28.5685,BB,A+
30/09/2012,IQT290488017,0.027246502,0.209013,1.694063027,0.335806806,0.337976963,97.71925628,1.227219969,1.674612489,37.9638,0.103944586,0.66638576,2.040587368,15.7384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,AA+
31/12/2012,IQT290488017,0.027246502,0.209013,1.694063027,0.335806806,0.337976963,97.71925628,1.227219969,1.674612489,37.9638,0.103944586,0.66638576,2.040587368,15.1788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,AA+
31/03/2013,IQT290488017,0.044652585,0.300582,0.944282771,0.361273502,0.277787396,43.62967381,2.206585324,1.577335828,84.8933,0.115278082,0.736726685,1.929859927,17.5196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,AA+
30/06/2013,IQT290488017,0.044652585,0.300582,0.944282771,0.361273502,0.277787396,43.62967381,2.206585324,1.577335828,84.8933,0.115278082,0.736726685,1.929859927,17.0316,0.035949544,0.2547975,1.319172899,0.348540154,0.30788218,70.67446505,1.716902647,1.625974158,61.42855,0.109611334,0.701556223,1.985223648,16.3671,NaN,AA+
30/09/2013,IQT290488017,0.062273717,0.364852,0.518597963,0.361173815,0.22965267,240.4879351,3.314224355,1.530716724,105.1659,0.190474749,0.753447382,1.8655706,28.8912,0.044706347,0.29375725,1.025306633,0.354881906,0.280801106,106.3666347,2.238653743,1.590000217,78.229075,0.131243875,0.723321628,1.941469455,19.6553,NaN,AA+
31/12/2013,IQT290488017,0.062273717,0.364852,0.518597963,0.361173815,0.22965267,240.4879351,3.314224355,1.530716724,105.1659,0.190474749,0.753447382,1.8655706,26.9896,0.053463151,0.332717,0.731440367,0.361223658,0.253720033,142.0588044,2.760404839,1.554026276,95.0296,0.152876416,0.745087034,1.897715263,22.608,NaN,AA+
31/03/2014,IQT290488017,0.05744062,0.365853,0.338889499,0.438709677,0.225399903,67.4998785,2.647054059,1.675409836,23.2876,0.22899729,0.715462918,1.767780634,31.0764,0.05666016,0.34903475,0.580092049,0.380582702,0.24062316,148.0263556,2.870522023,1.578544778,79.628175,0.181306218,0.739771092,1.85719544,25.9972,NaN,AA+
30/06/2014,IQT290488017,0.05744062,0.365853,0.338889499,0.438709677,0.225399903,67.4998785,2.647054059,1.675409836,23.2876,0.22899729,0.715462918,1.767780634,29.3056,0.059857169,0.3653525,0.428743731,0.399941746,0.227526286,153.9939068,2.980639207,1.60306328,64.22675,0.209736019,0.73445515,1.816675617,29.0657,NaN,AA+
30/09/2014,IQT290488017,0.037983119,0.266311,0.705001547,0.701067616,0.249666815,199.999561,1.015226198,1.20451843,-15.9664,0.145139814,0.667258996,1.851151316,18.6316,0.053784519,0.34071725,0.475344627,0.484915196,0.232529823,143.8718133,2.405889668,1.521513707,33.943675,0.198402286,0.712908054,1.813070796,26.5008,NaN,AA+
31/12/2014,IQT290488017,0.037983119,0.266311,0.705001547,0.701067616,0.249666815,199.999561,1.015226198,1.20451843,-15.9664,0.145139814,0.667258996,1.851151316,18.2564,0.04771187,0.316082,0.521945523,0.569888647,0.237533359,133.7497198,1.831140128,1.439964133,3.6606,0.187068552,0.691360957,1.809465975,24.3175,NaN,AA+
31/03/2015,IQT290488017,0.039888313,0.325811,0.623376626,0.213367609,0.310331073,40.17391287,2.783132518,2.176174497,-13.806,0.18899859,0.565616274,1.967817896,21.6864,0.043323793,0.3060715,0.593067305,0.513553129,0.258766151,126.9182283,1.865159743,1.565155298,-5.6128,0.177068877,0.653899296,1.859475291,21.97,BB+,AA+
30/06/2015,IQT290488017,0.039888313,0.325811,0.623376626,0.213367609,0.310331073,40.17391287,2.783132518,2.176174497,-13.806,0.18899859,0.565616274,1.967817896,21.1928,0.038935716,0.296061,0.664189087,0.457217612,0.279998944,120.0867369,1.899179358,1.690346464,-14.8862,0.167069202,0.616437635,1.909484606,19.9418,BB+,AA+
30/09/2015,IQT290488017,0.038313439,0.320109,0.373932137,0.159340659,0.28032345,55.058748,4.034477224,2.297297297,9.8591,0.161422709,0.562957258,1.920857988,18.1264,0.039018296,0.3095105,0.581421734,0.321785873,0.287663103,83.85153368,2.653992115,1.96354118,-8.429825,0.171139925,0.590362201,1.926911274,19.8155,BB+,AA+
31/12/2015,IQT290488017,0.038313439,0.320109,0.373932137,0.159340659,0.28032345,55.058748,4.034477224,2.297297297,9.8591,0.161422709,0.562957258,1.920857988,17.6032,0.039100876,0.32296,0.498654381,0.186354134,0.295327262,47.61633043,3.408804871,2.236735897,-1.97345,0.175210649,0.564286766,1.944337942,19.6522,BB+,AA+
31/03/2016,IQT290488017,0.01754386,0.235827,1.932697753,0.148320896,0.238063513,26.83863406,2.61634483,1.809468822,-9.1704,0.065759637,0.391738841,1.87625,6.2896,0.033514762,0.300464,0.825984663,0.170092456,0.277260372,44.28251073,3.367107949,2.145059478,-0.81455,0.144400911,0.520817408,1.921445968,15.803,BB+,AA+
30/06/2016,IQT290488017,0.01754386,0.235827,1.932697753,0.148320896,0.238063513,26.83863406,2.61634483,1.809468822,-9.1704,0.065759637,0.391738841,1.87625,4.9164,0.027928649,0.277968,1.153314945,0.153830777,0.259193482,40.94869103,3.325411027,2.05338306,0.34435,0.113591173,0.47734805,1.898553994,11.7339,BB+,AA+
30/09/2016,IQT290488017,0.020971808,0.222846,1.439078484,0.137209302,0.197112079,55.99988894,4.033890305,1.577342048,3.4782,0.09082397,0.489571396,1.809622563,8.2308,0.023593242,0.25365225,1.419601532,0.148297938,0.238390639,41.18397627,3.325264297,1.873394247,-1.250875,0.095941488,0.459001584,1.870745138,9.26,BB+,AA+
31/12/2016,IQT290488017,0.020971808,0.222846,1.439078484,0.137209302,0.197112079,55.99988894,4.033890305,1.577342048,3.4782,0.09082397,0.489571396,1.809622563,8.212,0.019257834,0.2293365,1.685888118,0.142765099,0.217587796,41.4192615,3.325117568,1.693405435,-2.8461,0.078291804,0.440655118,1.842936282,6.9122,BB+,AA+
31/03/2017,IQT290488017,0.017304189,0.237988,1.443666987,0.127272727,0.200364299,28.39990133,3.803558214,1.898963731,2.4038,0.077094972,0.407559199,1.791190865,5.7576,0.019197916,0.22987675,1.563630427,0.137503057,0.208162992,41.80957832,3.621920914,1.715779162,0.04745,0.081125637,0.444610208,1.821671498,6.7792,BB+,AA+
30/06/2017,IQT290488017,0.017304189,0.237988,1.443666987,0.127272727,0.200364299,28.39990133,3.803558214,1.898963731,2.4038,0.077094972,0.407559199,1.791190865,5.7096,0.019137999,0.230417,1.441372736,0.132241015,0.198738189,42.19989514,3.91872426,1.738152889,2.941,0.083959471,0.448565297,1.800406714,6.9775,BB+,AA+
30/09/2017,IQT290488017,0.017304189,0.237988,1.443666987,0.127272727,0.200364299,28.39990133,3.803558214,1.898963731,2.4038,0.077094972,0.407559199,1.791190865,5.7096,0.018221094,0.2342025,1.442519862,0.129756871,0.199551244,35.29989824,3.861141237,1.81855831,2.6724,0.080527222,0.428062248,1.795798789,6.3472,BB+,AA+
30/09/2012,IQT314743258,0.009958863,0.227371,1.761632209,0.180036267,0.177893479,47.52132076,2.840158246,0.78172834,329.6656,0.049574093,0.400062177,1.777130526,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BB,BBB-
31/12/2012,IQT314743258,0.009958863,0.227371,1.761632209,0.180036267,0.177893479,47.52132076,2.840158246,0.78172834,299.9573,0.049574093,0.400062177,1.777130526,3.5644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BB-,BB+
31/03/2013,IQT314743258,0.021059908,0.320684,1.146291665,0.127262679,0.166513489,21.53921815,6.400639933,1.040605179,263.7533,0.103990334,0.422957358,1.705271449,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BB-,BB+
30/06/2013,IQT314743258,0.021059908,0.320684,1.146291665,0.127262679,0.166513489,21.53921815,6.400639933,1.040605179,263.7533,0.103990334,0.422957358,1.705271449,7.5332,0.015509386,0.2740275,1.453961937,0.153649473,0.172203484,34.53026946,4.62039909,0.911166759,289.282375,0.076782214,0.411509768,1.741200987,5.5488,BB-,BB+
30/09/2013,IQT314743258,0.013164872,0.272086,1.618349986,0.154274866,0.178126709,22.03926848,3.783441848,0.978955744,14.5637,0.078925543,0.382124682,1.674067586,5.1964,0.016310888,0.28520625,1.418141381,0.147209123,0.172261791,28.15975639,4.85621999,0.96047361,210.5069,0.084120076,0.407025394,1.715435252,5.431333333,BB-,BB+
31/12/2013,IQT314743258,0.013164872,0.272086,1.618349986,0.154274866,0.178126709,22.03926848,3.783441848,0.978955744,14.5637,0.078925543,0.382124682,1.674067586,5.0732,0.01711239,0.296385,1.382320825,0.140768772,0.172320099,21.78924332,5.092040891,1.009780461,139.1585,0.091457939,0.40254102,1.689669517,5.934266667,BB-,BB+
31/03/2014,IQT314743258,NaN,0.406721,1.158773549,0,NaN,63.71946775,NaN,NaN,1.4401,0.200974744,NaN,NaN,12.0296,0.015796551,0.31789425,1.385441296,0.108953103,0.174255636,32.33430572,4.65584121,0.999505556,73.5802,0.115704041,0.395735574,1.684468874,7.4581,BB-,BB
30/06/2014,IQT314743258,0.023434589,0.406721,0.950596079,0.105450571,0.156703521,63.71946775,8.710491334,1.215494523,1.4401,0.200974744,0.353894446,1.61271377,11.752,0.016588111,0.3394035,1.3365174,0.103500076,0.170985646,42.87936811,5.425791677,1.057802004,8.0019,0.139950144,0.372714603,1.653616314,8.5128,BB-,BB
30/09/2014,IQT314743258,0.021719668,0.369886,0.679661585,0.104757876,0.138846115,383.1165804,9.796379051,1.307106639,39.3618,0.171803125,0.38522823,1.624124083,10.7188,0.01943971,0.3638535,1.101845299,0.091120828,0.157892115,133.1486961,7.430104078,1.167185635,14.201425,0.163169539,0.373749119,1.63696848,9.8934,BB-,BB
31/12/2014,IQT314743258,0.021719668,0.369886,0.679661585,0.104757876,0.138846115,383.1165804,9.796379051,1.307106639,39.3618,0.171803125,0.38522823,1.624124083,10.7596,0.022291308,0.3883035,0.867173199,0.078741581,0.144798584,223.4180241,9.434416478,1.276569267,20.40095,0.186388935,0.374783635,1.620320645,11.315,BB-,BB
31/03/2015,IQT314743258,NaN,0.340708,0.713347992,0,NaN,40.83524138,NaN,NaN,-10.4553,0.188045693,NaN,NaN,12.1856,0.022291308,0.37180025,0.75581681,0.078741581,0.144798584,217.6969675,9.434416478,1.276569267,17.4271,0.183156672,0.374783635,1.620320645,11.354,BB-,BB
30/06/2015,IQT314743258,0.017685732,0.352605,0.778911684,0.084002455,0.128195599,66.61919105,11.35992486,0.72311115,-22.6591,0.127938633,0.346938173,1.526677562,6.976,0.020375022,0.35827125,0.712895711,0.073379552,0.135295943,218.4218983,10.31756099,1.112441476,11.4023,0.164897644,0.372464877,1.591641909,10.16,BB-,BB
30/09/2015,IQT314743258,0.013857218,0.293221,0.691842261,0.08434647,0.149821182,160.4950565,8.125911245,1.866501951,-18.6153,0.089034558,0.350200801,1.59047089,5.0156,0.017754206,0.339105,0.71594088,0.0682767,0.138954299,162.7665173,9.760738386,1.29890658,-3.091975,0.144205502,0.360789068,1.580424178,8.7342,BB-,BB
31/12/2015,IQT314743258,0.013857218,0.293221,0.691842261,0.08434647,0.149821182,160.4950565,8.125911245,1.866501951,-18.6153,0.089034558,0.350200801,1.59047089,4.952,0.015133389,0.31993875,0.718986049,0.063173849,0.142612654,107.1111363,9.203915784,1.485371684,-17.58625,0.12351336,0.349113259,1.569206447,7.2823,BB-,BB
31/03/2016,IQT314743258,0.022956555,0.367604,0.45530239,0.085822844,0.144589951,84.44237195,11.1331455,2.585728922,8.3543,0.187476662,0.375818942,1.506214235,10.8964,0.017089181,0.32666275,0.654474649,0.08462956,0.143106978,118.012919,9.686223213,1.760460994,-12.88385,0.123371102,0.355789679,1.553458394,6.96,BB-,BB
30/06/2016,IQT314743258,0.022956555,0.367604,0.45530239,0.085822844,0.144589951,84.44237195,11.1331455,2.585728922,8.3543,0.187476662,0.375818942,1.506214235,10.612,0.018406886,0.3304125,0.573572326,0.085084657,0.147205566,122.4687142,9.629528373,2.226115437,-5.1305,0.13825561,0.363009872,1.548342562,7.869,BB-,BB
30/09/2016,IQT314743258,0.016461614,0.322991,0.433981404,0.188803374,0.135211513,71.7657562,4.368343524,1.647315078,12.5134,0.103350563,0.3452628,1.539530871,5.508,0.019057985,0.337855,0.509107111,0.111198883,0.143553149,100.2863891,8.690136443,2.171318718,2.651675,0.141834611,0.361775371,1.535607558,7.9921,BB-,BB
31/12/2016,IQT314743258,0.016461614,0.322991,0.433981404,0.188803374,0.135211513,71.7657562,4.368343524,1.647315078,12.5134,0.103350563,0.3452628,1.539530871,5.4932,0.019709084,0.3452975,0.444641897,0.137313109,0.139900732,78.10406408,7.750744513,2.116522,10.43385,0.145413612,0.360540871,1.522872553,8.1274,BB,BB
31/03/2017,IQT314743258,0.0162499,0.311486,0.335076553,0.184313699,0.132118261,78.14570677,4.656894299,1.651152041,-11.8109,0.188386909,0.364064483,1.518020919,10.5216,0.018032421,0.331268,0.414585438,0.161935823,0.13678281,76.52989778,6.131681712,1.88287778,5.39255,0.145641174,0.357602256,1.525824224,8.0337,BB,BB
